time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
1996-01-01 24:00:00,3845015.090000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,374244.663897, -465.801290,    0.000000,    0.000000,    0.000000,   20.000000,366541.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.100000,    4.463956,    4.463956,    4.463956,   10.268364,  -36.621388,  -24.897462, -218.147250,    0.000000,    0.000000,    0.033501,    0.807125,    0.718995,    0.000000,    0.252436,    0.001300,    0.001300,    0.000000
1996-01-02 24:00:00,3844515.687540,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -500.950299,    0.000000,    0.000000,    0.000000,   19.998633,366517.487776,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,    4.269642,    0.000202,    0.000202,   33.252328,  -39.445580,  -33.429319, -241.175377,  161.115205,    0.000000,    0.038136,    0.910226,    0.763537,  127.321618,    0.402465,    0.001300,    0.001300,    0.000000
1996-01-03 24:00:00,3843727.754883,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -790.310017,    0.000000,    0.000000,    0.000000,   19.996477,366480.391344,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,    3.904298,    3.353465,    3.353465,   67.201648,  -62.217468, -113.680349, -175.999921,  163.830636,    0.000000,    0.069360,    1.576622,    1.004892, 1021.175537,    0.281681,    0.001300,    0.001300,    0.000000
1996-01-04 24:00:00,3843112.905756,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -653.295014,    0.000000,    0.000000,    0.000000,   19.994794,366451.443808,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,    3.878382,    1.754742,    1.754742,   60.385400,  -51.468788,  -98.183374, -166.130110,  128.294493,    0.000000,    0.057091,    1.321247,    0.919914,  300.935764,    0.259509,    0.001300,    0.001300,    0.000000
1996-01-05 24:00:00,3842596.746855,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -572.597535,    0.000000,    0.000000,    0.000000,   19.993382,366427.142679,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,    3.874154,    0.042551,    0.042551,   60.546082,  -45.200581,  -94.358564, -154.158378,  165.149624,    0.000000,    0.060387,    1.390578,    0.943742,  198.432773,    0.260640,    0.001300,    0.001300,    0.000000
1996-01-06 24:00:00,3842050.413923,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -566.175137,    0.000000,    0.000000,    0.000000,   19.991886,366401.420934,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,    3.875215,    0.045117,    0.045117,   68.841805,  -44.722711, -103.793679, -175.782016,  168.713029,    0.000000,    0.058632,    1.353722,    0.931151,  220.387730,    0.257206,    0.001300,    0.001300,    0.000000
1996-01-07 24:00:00,3841543.742097,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -563.006911,    0.000000,    0.000000,    0.000000,   19.990500,366377.566463,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,    3.874916,    0.059486,    0.059486,   69.828116,  -44.476018, -104.416810, -179.941036,  170.308854,    0.000000,    0.057705,    1.334192,    0.924410,  225.253646,    0.279119,    0.001300,    0.001300,    0.000000
1996-01-08 24:00:00,3840903.251895,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -715.455881,    0.000000,    0.000000,    0.000000,   19.988747,366347.411727,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,    3.850436,    0.071486,    0.071486,   67.752534,  -56.521663, -124.123974, -156.031313,  158.973395,    0.000000,    0.081897,    1.830730,    1.082848,  140.896024,    0.313372,    0.001300,    0.001300,    0.000000
1996-01-09 24:00:00,3841069.715768,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -748.979379,    0.000000,    0.000000,    0.000000,   19.989203,366355.248965,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,    3.801020,    0.063737,    0.063737,   63.286916,  -59.169017, -110.532338, -110.587581,  149.016895,    0.000000,    0.110585,    2.391724,    1.237687,   92.238093,    0.323377,    0.001300,    0.001300,    0.000000
1996-01-10 24:00:00,3841397.690221,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -605.383782,    0.000000,    0.000000,    0.000000,   19.990100,366370.690236,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,    3.789197,    0.065236,    0.065236,   65.067733,  -47.819505,  -88.385512, -126.352787,  168.211343,    0.000000,    0.087288,    1.938181,    1.114173,  157.584895,    0.297712,    0.001300,    0.001300,    0.000000
